DIRECTORIOP6020     P6040     P5502     P6081     P6083     P6080     P1895     P1896     P1897     P1898     P1899     P1901     P1902     P1903     P1904     P1905     N_HIJOS   N_NIETOS  P1910     P1911     P1912     P1084     P1083S3
   6013445         2        55         5         3         3         6         9         3         4         9         8        10         9         6         0        10         1         0         5         5         5         5         0
   6013447         2        51         3         2         2         6         7         5         6         6         6         8         8         2         2         9         1         0         5         5         5         5         0
   6013453         2        21         5         2         1         6         9         8         8         6         7         8         8         3         3        10         1         0         5         3         5         1         1
   6013480         2        79         3         3         3         6         8         8         7         8         8         8         7         1         1        10         1         0         5         5         5         5         0
   6013484         2        49         3         3         2         6        10        10        10        10        10        10        10         0         0        10         2         0         5         1         5         1         1
   6013487         2        73         3         3         3         6         6         7         6         8         7         7         6         7         6        10         1         0         5         5         5         5         0
   6013494         2        80         3         3         3         6         4         5         4         6         6         6         6         7         3         8         2         2         5         5         5         5         0
   6013497         2        44         3         3         3         6        10        10        10        10        10        10        10         0         0        10         1         0         5         5         5         5         0
   6013500         2        33         5         2         2         6         5         4         8        10        10        10        10         0         0        10         1         0         5         5         5         1         1
   6013501         2        47         3         3         3         6         7         7         6         9         6         8         8         3         0         8         2         1         5         5         5         5         0
   6013599         2        37         5         2         2         1        10         6        10        10        10         8         8         4         5         7         2         0         5         5         5         5         0
   6013617         2        29         5         2         3         5         9         8         5         6         8         7         9         8         0         9         1         0         3         3         5         1         1
   6013645         2        40         5         2         2         5         8         6         6         9        10        10        10         0         0         7         4         0         5         1         5         2         1
   6013658         2        88         3         3         3         6        10         5         5         4         0         8        10         4         0         6         1         0         5         5         5         5         0
   6013674         2        75         3         3         3         6         8         8         7         8         8         7         7         2         0         9         2         0         5         5         5         5         0
   6013678         2        55         5         2         2         6         9         9         9         8         8         8         8         8         7         8         1         3         5         5         5         5         0
   6013682         2        52         5         2         2         6        10         8         7        10         7        10         5         6         2        10         1         0         5         5         5         5         0
   6013699         2        53         3         2         2         5         8         8        10         9         9        10        10         0         0         0         4         0         5         5         5         5         0
   6013701         2        81         3         3         3         6        10         9         5         7        10        10        10         0         0        10         4         2         5         5         5         5         0
   6013770         2        58         5         2         2         3         8         8         7         7         7         5         7         7         6         7         1         0         5         5         5         5         0
   6013776         2        36         5         2         2         5         8         8         8         8         8         8         8         2         1         9         2         0         5         5         5         5         0
   6013791         2        51         5         2         2         5         8         8         8         8         8         8         7         2         2         9         1         1         5         5         5         2         1
   6013795         2        66         5         2         2         5         8         8         8         8         8         8         8         2         3         9         3         0         5         5         5         5         0
   6013813         2        52         3         3         3         6         5         5         8         8         5         9         9         6         8        10         2         0         5         5         5         5         0
   6013814         2        75         3         3         3         6         6         6         6        10         0         8        10         7         3        10         1         0         5         5         5         5         0
   6013873         2        47         5         3         2         6        10        10        10         4        10        10        10         0         0        10         1         0         5         5         5         5         0
   6013889         2        53         5         3         3         6         6         8         8         8        10         8         9         0         0        10         2         0         5         5         5         5         0
   6013907         2        87         3         3         3         6        10         0         5        10         5        10        10         0         0        10         1         1         5         5         5         5         0
   6013917         2        73         3         3         3         6         9         9         9         7        10         8         7         3         0        10         1         0         5         5         5         5         0
   6013950         2        55         5         2         3         6        10         5        10         9         8         6         7         0         0         8         2         0         5         5         5         5         0
   6013952         2        42         5         2         2         5         7         6         9         8         6         7         6         7         2         9         3         0         5         5         5         5         0
   6013970         2        35         3         2         2         6         9         8        10         9         9         8         7         3         4         9         3         0         5         5         5         5         0
   6013978         2        39         5         3         3         6         7         7         5         7         5         8         8         3         4        10         1         0         5         5         5         5         0
   6013983         2        59         5         3         3         5         8         8         8         9         9         8         9         2         1         8         1         1         5         5         5         5         0
   6014003         2        56         5         3         3         6         8         0         0         8         5         0         0        10        10        10         2         1         5         5         5         5         0
   6014015         2        48         3         2         2         6         6         5         7         6         6         7         4         9         6         8         2         0         5         5         5         5         0
   6014025         2        75         3         3         3         6        10        10         8         8         0         5         8         1         8         9         2         2         5         5         5         5         0
   6014027         2        76         3         3         3         6        10         8         9         9         9        10        10         0         0        10         2         0         5         5         5         2         1
   6014089         2        73         3         3         3         6         9         9         8         9         8         9         8         1         2         9         3         0         5         1         5         1         1
   6014097         2        47         3         2         2         6         8         9         7         9         8         8         7         1         0         8         2         0         5         5         5         1         1
   6014140         2        66         5         3         3         6         9         5        10         9         8         6         6         8         5         9         1         2         5         5         5         5         0
   6014143         2        39         3         3         1         6         7         7         8         2         7         7         0         9         1        10         3         0         5         5         5         2         1
   6014155         2        59         3         3         3         6         0         0         8        10         4         0         0        10        10         0         2         0         5         5         5         5         0
   6014165         2        77         3         3         3         6         9         8         8        10         8         8        10         3         1         8         1         1         5         5         5         5         0
   6014169         2        61         3         3         3         6         8         6         7         7         7         8         8         5         4        10         1         0         5         5         5         5         0
   6014171         2        48         5         3         3         6        10         6         9        10         9        10        10         0         0        10         1         0         5         5         5         3         0
   6014184         2        75         3         3         3         6        10        10        10        10        10        10        10         5         0        10         1         0         5         5         5         5         0
   6014255         2        20         5         2         2         5        10        10        10        10         9        10        10         2         2        10         1         0         5         5         5         5         0
   6014325         2        48         3         2         2         5        10        10        10        10        10        10        10         0         0        10         1         0         5         5         5         5         0
   6014329         2        28         5         3         2         5        10        10        10        10        10        10        10         0         0        10         3         0         5         5         5         2         1
   6014339         2        66         5         3         3         5        10        10        10        10        10        10        10         0         0        10         1         1         5         5         5         5         0
   6014341         2        69         3         3         3         5        10        10        10        10        10        10        10         0         0        10         1         1         5         5         5         5         0
   6014367         2        30         5         1         1         6         5         3         7         5         5         7         7         2         2         8         2         0         5         5         5         2         0
   6014392         2        66         5         2         2         1         7         6         5        10        10         4        10         5         5         8         1         2         5         5         5         1         0
   6014424         2        48         5         3         2         6         7         7         7         5         5         5         4         4         4         4         1         0         5         5         5         5         0
   6014454         2        63         3         3         2         5         8         7         6         4         8         5         7         8         3        10         1         0         5         5         5         2         0
   6014458         2        57         3         3         2         6        10         7         6         8         9         9         8         2         3        10         1         1         5         5         5         1         1
   6014468         2        42         5         3         2         6         5         0         5         5         5         2         2         8         8         9         2         0         5         5         5         1         1
   6014520         2        80         3         3         3         6         1         8         0         1         0         9         5         4         7         0         3         1         5         5         5         5         0
   6014521         2        36         5         3         2         6         7         5        10         4         6         8        10         0         0         9         1         0         5         5         5         3         0
   6014532         2        54         3         3         3         5         7         5         6         7         6         7        10         0         0        10         1         0         2         2         5         2         1
   6014540         2        57         3         3         3         5         9         4         6         5         5         9         4         4         4        10         1         5         5         5         5         5         0
   6014552         2        62         3         3         3         5         8         7         4         4         6         7         6         7         6         8         2         0         5         5         5         5         0
   6014569         2        37         3         2         2         5         7         5        10         0         0         5        10        10         5        10         3         0         5         5         5         1         1
   6014583         2        64         3         3         3         5        10         8         6         5        10        10        10         0         0        10         2         3         5         5         5         5         0
   6014599         2        34         5         2         2         6         5         2         1         3         6         5         8        10         3         8         4         0         5         5         5         5         0
   6014600         2        40         5         2         1         6         7         7         9         7         6        10         8         3         0        10         2         0         5         5         5         5         0
   6014606         2        51         3         3         3         5        10         0         6         5         0         8         8         0         0        10         1         1         5         5         5         5         0
   6014610         2        68         5         3         3         5         8         5         3         2         6         8         8         3         2        10         2         0         5         5         5         5         0
   6014623         2        65         3         3         3         5         6         7         5         5         5         3         5         5         3         7         1         1         5         5         5         5         0
   6014627         2        67         5         3         3         5         6         5         6         4         5         7         4         2        10        10         1         2         5         5         5         5         0
   6014631         2        87         3         3         3         5         8         9         6         7         7         8         8         0         0        10         1         1         5         5         5         5         0
   6014643         2        27         5         3         2         5         6         3         8         3         4         8         8         6         0        10         3         0         5         5         5         5         0
   6014650         2        51         3         2         2         5         0         0         3         2         5         3         6         6         5         6         2         0         5         5         5         2         1
   6014655         2        28         5         2         2         5         7         6         9         1         5        10         8         0         0        10         1         0         5         5         5         2         1
   6014658         2        77         3         3         3         5         7         6         8         7         7         8         8         0         0        10         1         0         5         5         5         5         0
   6014663         2        45         3         2         3         6        10         2         2         2         2         3         3         0         0        10         1         0         5         5         5         1         1
   6014682         2        53         3         3         2         5         6         5         3         5         6         4         5         8         9        10         5         0         5         5         5         5         0
   6014685         2        68         3         3         3         5        10         4         7         5         5         8         8         0         0        10         2         2         5         5         5         5         0
   6014702         2        57         5         2         2         5         8         5         8         7         7        10        10         0         0        10         1         0         5         5         2         2         1
   6014739         2        69         3         3         3         6        10         5         5         6         9        10         8         3         0        10         1         2         5         5         5         5         0
   6014748         2        29         3         2         2         6         8         5        10         2         7         7         8         4         4        10         2         0         2         5         5         1         1
   6014750         2        67         3         3         3         6         5         5         4         0         5         0         0        10        10        10         2         2         5         5         5         5         0
   6014751         2        39         3         2         2         6         4         6         5         2         3         5         5         4         4         7         4         2         5         5         5         5         0
   6014760         2        55         3         2         2         1         8         4         8         3         8         6         5         7         3         8         1         1         5         5         5         5         0
   6014957         2        76         3         3         3         6         8         9         9         8         9         7         7         5         4        10         1         1         5         5         5         2         1
   6014959         2        63         5         3         3         6         8         8         8         8         7        10         9         4         4         9         1         3         5         5         5         5         0
   6014960         2        63         5         3         3         6        10         8         9        10        10        10        10         0         0         9         1         0         5         5         5         1         1
   6014968         2        62         3         3         3         1         8         7         9         9         5         5         7         7         8        10         1         0         5         5         5         5         0
   6014978         2        50         3         3         3         6        10        10        10        10        10        10        10         0         0        10         1         0         5         5         5         1         1
   6014979         2        81         3         3         3         6         8         8         6         8         9         9         8         1         1         8         2         1         5         5         5         5         0
   6014994         2        39         5         2         2         6         9         6        10         4         8         7         8         7         6        10         2         0         5         1         5         1         1
   6015001         2        40         5         2         3         6         9         9         8         9        10         9         9         5         3        10         1         0         3         3         1         1         1
   6015019         2        37         5         3         2         5        10         6         8         7         7         5         6         6         8        10         2         0         5         5         5         5         0
   6015027         2        63         3         3         2         6         8         5         9         9        10         8        10         5         8        10         2         1         5         5         5         1         1
   6015030         2        74         3         3         3         6         9         9         9         9         9         9         7         6         1        10         1         0         5         5         5         5         0
   6015126         2        83         3         3         3         6         8         9         9         5        10         8         8         0         3        10         1         1         5         5         5         5         0
   6015135         2        36         5         2         2         6         8         7         7         5         8         8         8         7         7         8         2         0         5         5         5         1         1
   6015166         2        49         3         2         2         6         7         5         8         4         8         8         8         4         0         8         3         0         5         5         5         5         0
   6015171         2        56         5         3         2         6        10         9         9         8        10         8         9         0         0        10         1         0         1         1         5         1         0
   6015181         2        73         5         3         3         6         6         4         4         3         3         4         4         5         4         5         1         0         5         5         5         5         0
   6015201         2        59         3         3         2         6         9         9         9         7         9         8         8         2         4         9         2         0         5         5         1         1         1
   6015211         2        44         5         2         2         6         7         7        10         3        10         8         8         3         0        10         1         0         5         2         5         1         1
   6015214         2        55         5         3         3         6         5         3         8         3         8         8         8         3         1        10         1         0         5         1         1         1         1
   6015227         2        35         5         2         2         6         4         3        10         6         3         7         7         0         0        10         2         0         5         5         5         1         1
   6015252         2        48         5         2         2         6         8         7         8         7         8         9         7         4         7         8         1         0         5         5         5         5         0
   6015271         2        86         3         3         3         6         7         7         5         7         7         7         6         7         0         8         1         0         5         5         5         5         0
   6015273         2        65         5         3         3         6         9         9         9         9        10        10        10         0         0        10         1         0         1         5         5         1         1
   6015275         2        58         3         2         2         6        10         8         8         8         8        10        10         8         5        10         1         2         5         5         5         1         1
   6015276         2        45         5         2         2         6         9         9         9         9         9         9         9         9         9         9         1         0         2         5         5         2         1
   6015282         2        70         3         3         3         6         8         5         4         0        10        10        10        10         5        10         2         2         5         5         5         5         0
   6015284         2        44         5         3         2         6         5         5         7         2         9         6         5         2         2         9         2         0         5         1         5         1         1
   6015363         2        74         3         3         3         6         7         7         7         6         7         7         7         7         7         7         1         0         5         5         5         5         0
   6015393         2        54         5         3         1         6         2         0         2         1         1         3         2         6         2         8         1         0         5         4         5         3         1
   6015417         2        65         3         3         3         6         3         0         4         5         0         2         2         3         2         5         1         2         5         5         5         5         0
   6015421         2        68         3         3         3         6        10         8         7         0        10         8         8         8         0         8         3         1         5         5         5         5         0
   6015428         2        35         5         2         2         6        10         8        10        10        10        10         9         8         0        10         1         0         1         5         5         1         1
   6015435         2        41         3         3         1         6         8         6         8         5         7         9         8         6         2         7         2         0         5         5         5         5         0
   6015458         2        78         3         3         3         6        10         5         6        10         7         9        10         3         6        10         1         0         5         5         5         5         0
   6015512         2        45         3         3         2         5        10         4         6         8         8         7         7         8         8         8         2         0         5         5         5         5         0
   6015659         2        63         3         3         3         1         9         8         5         9         4         7         4         8         4        10         1         0         5         5         5         5         0
   6015684         2        53         3         3         2         6         9         7         7         8         9         8         8         6         2         9         3         2         5         5         5         5         0
   6015694         2        35         3         2         2         6         9         8         9         7         8         9         8         1         0        10         1         0         2         2         5         1         1
   6015740         2        58         5         3         1         6         9         8         9         8         7         9         9         1         8        10         1         0         3         5         2         1         1
   6015753         2        75         3         3         3         6        10        10        10        10        10        10        10         0         0        10         1         0         5         5         5         5         0
   6015756         2        75         3         3         3         6         8         1         8         5         9         8         8         6         2         8         1         1         1         5         5         2         0
   6015759         2        45         3         3         2         6         7         7         8         6         8         6         5         4         2         7         4         1         5         5         5         5         0
   6015766         2        46         3         2         3         6         6         7         7         7         6         5         7         3         2        10         2         0         5         5         5         5         0
   6015883         2        27         5         2         2         6         7         6         7         8         6         4         4         5         6         6         3         0         5         5         5         5         0
   6015899         2        36         5         2         2         6         9         7         9         9         8        10         9         1         0        10         1         0         2         5         5         1         1
   6015902         2        79         3         3         3         6         7         4         5         6         6         8         8         0         0        10         1         0         5         5         5         5         0
   6015957         2        35         5         2         2         6         7         7         7         8         7         7         8         8         3         9         1         0         3         3         5         1         1
   6015961         2        63         3         2         2         6        10         5         8         7         7         7         8         3         3        10         3         0         5         5         5         5         0
   6015962         2        47         5         3         2         6         6         4         3         6         5         7         7         7         0         9         1         0         5         1         5         1         1
   6015968         2        88         3         3         3         6         8         8         8         9         8         9         8         0         0         8         1         3         5         5         5         5         0
P1082     P769      P804
         1         1         1
         2         2         2
         1         1         4
         1         1         2
         1         1         1
         1         1         1
         1         1         5
         1         1         1
         1         1         5
         1         1         2
         1         1         1
         1         1         5
         1         1         1
         1         1         1
         1         1         5
         2                   5
         2                   5
         1         1         3
         1         2         1
         1         2         2
         1         1         2
         1         2         5
         2         2         5
         1         2         5
         1         1         2
         1         1         1
         1         1         2
         1         1         5
         1         1         3
         1         1         5
         1         1         5
         1         1         1
         1         1         5
         1         1         1
         1         1         1
         1         1         1
         1         1         1
         1         1         2
         1         1         3
         1         1         1
         2                   5
         2                   5
         2         2         2
         2         2         5
         1         1         2
         2                   5
         1         1         5
         2                   1
         1         1         5
         1         1         1
         1         1         1
         1         1         2
         1         1         5
         1         2         3
         1         1         1
         2         3         5
         2         4         5
         1         2         5
         2         1         2
         1         1         5
         1         1         5
         1         2         2
         1         1         1
         1         1         2
         1         1         5
         1         1         1
         1         1         1
         1         1         5
         1         1         5
         1         1         5
         1         1         5
         1         1         5
         1         2         5
         1         3         5
         1         2         4
         1         1         5
         1         1         1
         1         1         5
         1         1         5
         1         1         1
         1         2         5
         1         1         5
         2                   1
         2                   1
         2                   1
         1         2         1
         1         1         2
         1         1         5
         1         1         5
         1         1         5
         1         1         5
         1         2         1
         1         1         1
         1         2         2
         1         1         5
         1         1         5
         1         1         5
         1         2         5
         1         1         1
         1         1         1
         1         2         1
         1         2         5
         1         1         1
         2                   5
         2         2         2
         1         1         2
         2                   2
         1         1         1
         2                   5
         2         2         5
         2         1         1
         2                   1
         1         1         1
         1         1         1
         1         1         1
         1         1         1
         1         1         1
         1         1         5
         1         1         1
         1         1         2
         1         1         5
         1         1         5
         1         1         5
         1         1         5
         1         1         5
         1         1         5
         1         1         3
         1         1         5
         1         1         1
         2         1         1
         2         2         3
         1         1         5
         1         2         2
         2         3         1
         1         1         5
         1         1         1
         1         1         5
         1         1         1
         2         2         2
         1         1         5
         1         2         2
         1         1         2
         1         2         2
         1         1         5
         1         1         2
         1         1         1
         1         1         1
         1         1         2
         1         1         1
         1         1         5
         1         1         5
         1         1         1
         1         1         5
         1         2         5
         1         2         1
         1         1         2
         2                   5
         1         2         2
         1         1         1
         2                   5
         2                   5
         1         2         3
         1         1         5
         1         1         3
         1         1         5
         2         2         5
         1         1         5
         2         2         1
         1         1         5
         1         1         1
         1         1         5
         1         1         5
         1         1         5
         1         2         5
         1         1         5
         1         1         2
         1         1         5
         1         1         1
         2                   5
         1         1         5
         1         1         2
         1         1         5
         1         1         2
         2                   5
         1         1         1
         1         1         1
         1         2         1
         1         1         1
         1         2         5
         1         1         5
         1         1         2
         2                   5
         2         2         5
         1         1         5
         1         2         1
         1         1         1
         1         1         2
         2                   1
         1         2         5
         1         2         2
         1         1         5
         1         1         1
         1         1         1
         1         1         2
         1         1         1
         2                   2
         1         1         5
         1         1         1
         1         1         2
         2         2         3
         1         1         1
         1         1         5
         1         1         2
         1         1         1
         1         2         5
         1         2         3
         1         1         1
         1         1         1
         2                   5
         2         2         5
         1         2         1
         2                   5
         1         1         5
         1         2         1
         1         1         2
         1         3         1
         1         2         4
         1         1         2
         1         1         1
         2         2         1
         2                   5
         2         2         5
         1         1         1
         2                   5
         1         1         5
         1         1         5
         2                   5
         2                   5
         2                   5
         1         1         1
         1         1         1
         1         2         2
         2         2         5
         2         3         5
         1         1         2
         1         1         5
         1         1         2
         1         1         1
         1         1         1
         1         1         2
         1         1         5
         1         1         3
         1         1         3
         2         3         5
         1         1         5
         1         1         1
         1         1         1
         1         1         1
         1         1         2
         1         1         1
         2                   1
         1         2         5
         1         1         1
         1         1         1
         1         1         5
         1         2         5
         2         2         5
         1         1         5
         1         1         1
         1         4         2
         1         1         1
         1         1         3
         1         1         5
         1         1         5
         2         2         5
         2         2         5
         1         1         1
         1         1         5
         2                   5
         1         1         5
         1         2         2
         1         1         1
         1         1         5
         1         2         5
         1         2         1
         1         1         1
         1         1         5
         1         2         2
         2         3         1
         1         2         5
         1         2         5
         1         2         5
         1         1         2
         1         1         2
         1         1         1
         1         1         2
         1         1         1
         2         2         1
         1         1         2
         2                   1
         1         1         1
         2                   5
         2                   5
         1         2         5
         1         2         5
         2                   5
         1         1         2
         2         2         1
         1         1         5
         1         1         5
         1         1         1
         2                   5
         1         1         1
         1         2         5
         1         1         3
         2                   1
         1         2         5
         1         1         2
         2         2         2
         2         2         5
         1         1         1
         2                   5
         1         1         5
         1         2         5
         1         2         1
         1         2         1
         1         1         5
         1         2         5
         2                   5
         1         1         1
         1         1         5
         1         1         1
         1         1         1
         1         1         1
         1         2         5
         1         2         1
         1         1         1
         1         1         1
         1         1         1
         1         1         1
         2                   1
         1         1         1
         1         1         5
         1         2         3
         1         1         4
         1         2         4
         1         1         2
         2         2         2
         1         1         5
         2         2         3
         1         2         5
         1         1         5
         1         1         2
         1         2         5
         2         2         2
         1         1         3
         1         1         5
         1         2         1
         2         2         5
         1         2         2
         1         2         1
         1         2         5
         1         3         5
         1         2         1
         1         2         1
         2                   1
         1         1         5
         1         2         5
         1         2         5
         1         1         2
         1         1         5
         1         1         2
         2                   2
         1         1         5
         1         1         1
         1         1         5
         1         1         1
         1         1         2
         1         1         1
         1         1         5
         1         2         2
         1         1         5
         1         2         5
         2                   2
         1         1         1
