DIRECTORIOP6020     P6040     P5502     P6081     P6083     P6080     P1895     P1896     P1897     P1898     P1899     P1901     P1902     P1903     P1904     P1905     N_HIJOS   N_NIETOS  P1910     P1911     P1912     P1084     P1083S3
   6001909         2        83         3         3         3         6        10         7         4        10         7         9         5         0         4         8         1         0         5         5         5         5         0
   6001913         2        49         3         3         2         6         9         9         7         6         7         7         7         5         5        10         2         0         5         5         5         5         0
   6001929         2        44         5         3         2         6         7         5         9         9         4        10        10         4         2        10         1         1         5         2         5         1         0
   6001937         2        61         3         3         3         6        10         5         9        10         0        10        10         0         0        10         2         1         5         5         5         5         0
   6002021         2        41         5         2         3         6         8         5         7         6         7         6         5        10         5         8         1         0         5         5         5         5         0
   6002026         2        77         3         3         3         6         9         8         6        10         8        10         9         5         9        10         2         0         5         5         5         5         0
   6002034         2        51         5         2         2         6         7         8         8         7         8         9        10         8         0        10         1         0         5         5         5         2         1
   6002086         2        48         5         3         3         6         8         8         7         5         5         8         8         5         0         9         2         2         5         5         5         5         0
   6002118         2        61         3         3         3         6        10         7         6         7         6         5         6         6         4        10         3         0         5         5         5         5         0
   6002130         2        28         3         2         2         6        10        10        10        10        10        10        10         0         0        10         2         0         1         5         1         1         1
   6002153         2        56         3         3         3         6        10         8         6         6         7        10        10         3         4        10         1         0         5         5         5         5         0
   6002157         2        41         3         2         2         6         8         6         7         7         7         7         8         5         5         7         2         0         5         5         5         5         0
   6002158         2        61         3         3         3         6        10        10         2        10         7         8         7         7         0        10         1         0         5         5         5         5         0
   6002160         2        47         5         2         1         6        10         0         1         5         5        10         5         5         5        10         3         0         5         5         5         5         0
   6002164         2        54         5         2         2         5        10         5        10         7         7         0        10         0        10        10         1         0         1         5         5         1         1
   6002171         2        77         3         3         3         6         8         8         8         9         7         8         8         7         4         8         2         1         5         5         5         5         0
   6002172         2        38         5         3         3         6         8         9         8         8         9         7         8         2         2         7         1         0         5         1         5         1         1
   6002173         2        63         3         3         3         6         9         8         8         8         7         8         7         6         4        10         1         1         5         5         5         5         0
   6002190         2        59         5         3         3         6        10         4         8         9         5        10        10         8         4        10         1         0         5         5         5         5         0
   6002203         2        24         5         2         2         6         7         3         9         8         8         9         8         2         2         8         1         0         5         1         5         1         1
